Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.31,0.31,0.39633868651853593
100% Corpus,4,0.31,0.61,0.4196024843416077
100% Corpus,4,0.31,0.9099999999999999,0.47195785074345703
100% Corpus,4,0.31,symmetric,0.3773668187909097
100% Corpus,4,0.61,0.01,0.32613257707595045
100% Corpus,4,0.61,0.31,0.367853124966911
100% Corpus,4,0.61,0.61,0.3990259833311118
100% Corpus,4,0.61,0.9099999999999999,0.42967905319458827
100% Corpus,4,0.61,symmetric,0.332045427204604
100% Corpus,4,0.9099999999999999,0.01,0.3276932106391342
100% Corpus,4,0.9099999999999999,0.31,0.3732832353909414
100% Corpus,4,0.9099999999999999,0.61,0.39798226044761265
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.42644974881194725
100% Corpus,4,0.9099999999999999,symmetric,0.3550677012255216
100% Corpus,4,symmetric,0.01,0.32903716191116356
100% Corpus,4,symmetric,0.31,0.3964791497103819
100% Corpus,4,symmetric,0.61,0.42807755590397434
100% Corpus,4,symmetric,0.9099999999999999,0.44212601999023526
100% Corpus,4,symmetric,symmetric,0.3864163358971223
100% Corpus,4,asymmetric,0.01,0.34047035199100517
100% Corpus,4,asymmetric,0.31,0.3758677760131685
100% Corpus,4,asymmetric,0.61,0.41332880911469694
100% Corpus,4,asymmetric,0.9099999999999999,0.4683753627606233
100% Corpus,4,asymmetric,symmetric,0.3422489764516177
100% Corpus,5,0.01,0.01,0.3377098538946298
100% Corpus,5,0.01,0.31,0.38673079701568885
100% Corpus,5,0.01,0.61,0.4242966748000879
100% Corpus,5,0.01,0.9099999999999999,0.45388619447891854
100% Corpus,5,0.01,symmetric,0.36920658761397684
100% Corpus,5,0.31,0.01,0.33465546840857435
100% Corpus,5,0.31,0.31,0.3989607022286725
100% Corpus,5,0.31,0.61,0.43216554736422375
100% Corpus,5,0.31,0.9099999999999999,0.4305282663967899
100% Corpus,5,0.31,symmetric,0.3551332237221756
100% Corpus,5,0.61,0.01,0.32390739195180884
100% Corpus,5,0.61,0.31,0.369734419694945
100% Corpus,5,0.61,0.61,0.40098235538631943
100% Corpus,5,0.61,0.9099999999999999,0.430542812231877
100% Corpus,5,0.61,symmetric,0.3640633645656767
100% Corpus,5,0.9099999999999999,0.01,0.3238704427388143
100% Corpus,5,0.9099999999999999,0.31,0.3452978510770466
100% Corpus,5,0.9099999999999999,0.61,0.3809838318950176
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.42545020899980723
100% Corpus,5,0.9099999999999999,symmetric,0.33855870593727216
100% Corpus,5,symmetric,0.01,0.3403983850553796
100% Corpus,5,symmetric,0.31,0.39920539087083606
100% Corpus,5,symmetric,0.61,0.4305218213250723
100% Corpus,5,symmetric,0.9099999999999999,0.46740230613641937
100% Corpus,5,symmetric,symmetric,0.37755150280067135
100% Corpus,5,asymmetric,0.01,0.3357624429638624
100% Corpus,5,asymmetric,0.31,0.3685514168620597
100% Corpus,5,asymmetric,0.61,0.398975812059876
100% Corpus,5,asymmetric,0.9099999999999999,0.4646074465603608
100% Corpus,5,asymmetric,symmetric,0.36541913490909933
100% Corpus,6,0.01,0.01,0.3612661658494811
100% Corpus,6,0.01,0.31,0.389931255039512
100% Corpus,6,0.01,0.61,0.4312330938327918
100% Corpus,6,0.01,0.9099999999999999,0.4612670664696953
100% Corpus,6,0.01,symmetric,0.379172897998013
100% Corpus,6,0.31,0.01,0.3331183290098107
100% Corpus,6,0.31,0.31,0.3992031160605687
100% Corpus,6,0.31,0.61,0.44381373611652564
100% Corpus,6,0.31,0.9099999999999999,0.46573985169438775
100% Corpus,6,0.31,symmetric,0.3541985950310668
100% Corpus,6,0.61,0.01,0.3233213182686262
100% Corpus,6,0.61,0.31,0.35454234133501167
100% Corpus,6,0.61,0.61,0.39266891204696175
100% Corpus,6,0.61,0.9099999999999999,0.4256723928078546
100% Corpus,6,0.61,symmetric,0.36292181904629056
100% Corpus,6,0.9099999999999999,0.01,0.3276932106391342
100% Corpus,6,0.9099999999999999,0.31,0.37176966760179103
100% Corpus,6,0.9099999999999999,0.61,0.3964646367986408
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.4453308717366983
100% Corpus,6,0.9099999999999999,symmetric,0.3356973728226603
100% Corpus,6,symmetric,0.01,0.33952315877049555
100% Corpus,6,symmetric,0.31,0.37480891734635735
100% Corpus,6,symmetric,0.61,0.42661268805797237
100% Corpus,6,symmetric,0.9099999999999999,0.44791480333690004
100% Corpus,6,symmetric,symmetric,0.375473731984399
100% Corpus,6,asymmetric,0.01,0.3395659115054065
100% Corpus,6,asymmetric,0.31,0.34145346798549736
100% Corpus,6,asymmetric,0.61,0.39758232141806177
100% Corpus,6,asymmetric,0.9099999999999999,0.4921417366288788
100% Corpus,6,asymmetric,symmetric,0.3405895025979252
100% Corpus,7,0.01,0.01,0.3377098538946298
100% Corpus,7,0.01,0.31,0.3830102277356509
100% Corpus,7,0.01,0.61,0.42398227991282617
100% Corpus,7,0.01,0.9099999999999999,0.46151824289362686
100% Corpus,7,0.01,symmetric,0.37544090017558035
100% Corpus,7,0.31,0.01,0.33114786080251163
100% Corpus,7,0.31,0.31,0.36532150372497263
100% Corpus,7,0.31,0.61,0.44344001744789435
100% Corpus,7,0.31,0.9099999999999999,0.4801734277407942
100% Corpus,7,0.31,symmetric,0.36219132294913564
100% Corpus,7,0.61,0.01,0.32298836190638314
100% Corpus,7,0.61,0.31,0.37845630993327684
100% Corpus,7,0.61,0.61,0.3774935848053554
100% Corpus,7,0.61,0.9099999999999999,0.45007749423183235
100% Corpus,7,0.61,symmetric,0.3579874115079577
100% Corpus,7,0.9099999999999999,0.01,0.32371977566240323
100% Corpus,7,0.9099999999999999,0.31,0.3466258750461636
100% Corpus,7,0.9099999999999999,0.61,0.3862187624783667
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.4095297842133956
100% Corpus,7,0.9099999999999999,symmetric,0.3257079357568904
100% Corpus,7,symmetric,0.01,0.3388871445434214
100% Corpus,7,symmetric,0.31,0.391540539284941
100% Corpus,7,symmetric,0.61,0.4345260202428222
100% Corpus,7,symmetric,0.9099999999999999,0.4608608540002412
100% Corpus,7,symmetric,symmetric,0.37872574169252876
100% Corpus,7,asymmetric,0.01,0.33689426285143637
100% Corpus,7,asymmetric,0.31,0.3838299900182797
100% Corpus,7,asymmetric,0.61,0.4060235648395226
100% Corpus,7,asymmetric,0.9099999999999999,0.46167279399994376
100% Corpus,7,asymmetric,symmetric,0.3642476955729575
100% Corpus,8,0.01,0.01,0.32991142830552656
100% Corpus,8,0.01,0.31,0.37534340337367894
100% Corpus,8,0.01,0.61,0.42374650869299035
100% Corpus,8,0.01,0.9099999999999999,0.4884223975094552
100% Corpus,8,0.01,symmetric,0.3747472303487111
100% Corpus,8,0.31,0.01,0.33111556089503463
100% Corpus,8,0.31,0.31,0.3986660918165944
100% Corpus,8,0.31,0.61,0.43223426512181995
100% Corpus,8,0.31,0.9099999999999999,0.4595847474446332
100% Corpus,8,0.31,symmetric,0.3543101329035491
100% Corpus,8,0.61,0.01,0.31831808371913733
100% Corpus,8,0.61,0.31,0.35285888845663643
100% Corpus,8,0.61,0.61,0.4381796072677785
100% Corpus,8,0.61,0.9099999999999999,0.43776321994249984
100% Corpus,8,0.61,symmetric,0.34429955505574233
100% Corpus,8,0.9099999999999999,0.01,0.32353090517225314
100% Corpus,8,0.9099999999999999,0.31,0.3895999279027122
100% Corpus,8,0.9099999999999999,0.61,0.37880924758308004
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.4131914347092181
100% Corpus,8,0.9099999999999999,symmetric,0.34932103014887994
100% Corpus,8,symmetric,0.01,0.33454492401979696
100% Corpus,8,symmetric,0.31,0.3689834181137608
100% Corpus,8,symmetric,0.61,0.4398943053317138
100% Corpus,8,symmetric,0.9099999999999999,0.446601153413477
100% Corpus,8,symmetric,symmetric,0.3761408016527513
100% Corpus,8,asymmetric,0.01,0.3356477100522758
100% Corpus,8,asymmetric,0.31,0.35486057704619434
100% Corpus,8,asymmetric,0.61,0.40015679058170256
100% Corpus,8,asymmetric,0.9099999999999999,0.4744499322656493
100% Corpus,8,asymmetric,symmetric,0.37251126599805395
100% Corpus,9,0.01,0.01,0.33038494828400006
100% Corpus,9,0.01,0.31,0.3765469359760048
100% Corpus,9,0.01,0.61,0.4281512010337081
100% Corpus,9,0.01,0.9099999999999999,0.45814001483259786
100% Corpus,9,0.01,symmetric,0.35487962399934414
100% Corpus,9,0.31,0.01,0.3364494865291803
100% Corpus,9,0.31,0.31,0.39654084128458317
100% Corpus,9,0.31,0.61,0.4522041692487712
